InvestorID,CompanyID
1,29553
1,73163
1,90090
1,57148
1,47360
1,52790
1,55300
1,25284
1,31581
2,16429
2,43300
2,98247
2,78211
2,47930
2,14313
2,68958
2,58488
2,54696
3,61529
3,11085
3,90296
3,87540
3,80923
3,23958
3,44213
4,93556
5,99574
5,75083
5,43583
6,78858
6,91769
6,9812
6,48454
6,36187
6,59556
6,49321
6,40096
7,57055
7,69987
7,64320
7,52079
7,5618
7,98324
7,6741
7,70738
8,97150
8,56765
8,56941
8,22874
8,39101
8,64452
9,68146
9,70519
9,54930
9,16586
9,52417
10,9142
10,96794
11,46560
12,2485
12,42947
13,8328
13,10019
13,2283
13,35275
13,75437
13,26850
14,38617
14,77810
15,80378
15,77998
15,36537
15,18466
15,20915
16,39911
16,5580
17,49115
18,65898
18,28944
18,8342
18,34972
18,95022
19,15434
19,50472
19,55530
20,93674
20,3933
20,64932
20,79391
20,399
20,52339
21,76069
21,30698
21,31108
21,78701
21,90161
21,44414
21,85838
21,67077
21,70743
22,40508
22,88392
22,68227
22,84301
23,52869
23,41300
23,23966
23,20953
23,67156
23,3012
23,66840
23,22288
23,75190
24,15869
24,59664
24,4050
24,49068
25,68057
26,59860
26,79393
26,67851
26,47984
26,54206
26,8399
27,66652
27,58821
27,96062
27,83925
27,39312
27,15784
27,98610
27,67950
28,80653
28,15744
29,87077
29,86670
29,4335
29,29978
29,90779
30,87879
30,56237
30,70648
30,70687
31,78945
32,73364
32,85415
32,59302
33,87357
33,96490
33,58050
33,58388
33,89434
33,18562
33,36412
33,87423
34,22806
34,44636
34,55841
34,77760
35,89338
35,75761
35,49894
35,18791
35,44645
35,26858
35,23378
36,6698
36,70868
36,50945
36,3488
36,84400
36,78695
37,96217
37,71203
37,59342
37,67522
37,43695
38,13306
38,10409
38,6883
38,79410
38,77084
38,16007
38,51845
38,62601
38,14114
39,60704
39,50232
39,82326
39,66944
40,64611
41,73615
41,86065
42,45355
42,62657
42,57730
42,86601
42,31626
42,11094
42,4394
42,86665
42,38258
43,16414
43,92544
43,11983
43,85321
43,39204
43,62226
43,372
44,61954
44,25486
44,84776
44,90343
45,85700
45,14315
45,11233
45,18658
46,40401
46,44504
46,48182
46,89959
47,92897
48,90158
48,7177
48,63876
48,14537
48,91319
48,34895
48,26665
48,29
48,34957
49,39170
50,24850
50,24132
50,6186
50,23066
50,2139
50,16228
51,69384
51,55214
51,67288
51,76985
51,59594
51,82606
51,12632
51,53114
52,6485
52,98937
52,28825
52,82400
52,59946
52,36300
53,11063
53,89372
53,87105
53,82750
53,31900
53,33944
54,52961
54,7418
54,71784
54,16277
54,13069
54,80063
54,38942
55,56806
55,14214
55,33799
55,2475
55,64579
55,70624
56,4310
56,83977
56,75893
57,24841
57,49850
57,43203
58,33365
59,36855
59,46857
60,61063
60,99754
60,71695
60,5377
60,66683
60,40844
60,59273
60,56981
61,58616
61,47767
61,21348
62,60048
62,35890
63,70960
63,36356
63,72382
63,30729
63,57661
63,64799
63,79024
63,81947
63,69863
64,39108
64,23977
65,57147
66,48656
66,39537
67,26860
67,27568
67,89808
67,32899
67,34379
67,84519
68,8921
68,20052
68,24548
68,46369
68,76373
69,27377
70,73645
70,25034
70,62313
70,9952
70,82064
70,88275
70,14072
70,79751
70,62466
71,84081
71,2444
71,9237
72,8795
72,21710
72,78883
72,54892
72,68449
73,16940
73,47850
73,25813
73,72966
73,45869
73,33851
73,47571
73,28939
73,77873
74,71571
74,42787
74,52315
74,80763
75,90968
75,34015
75,52519
75,37383
76,62233
76,35030
76,26605
76,14222
76,52911
76,65708
77,7331
77,44054
78,16455
78,66480
78,70356
78,81085
79,65375
79,68950
79,72744
79,79780
79,42968
79,37461
80,97207
80,68574
80,66108
80,83788
80,97009
80,92558
80,7817
81,54854
81,51931
81,10413
81,99419
81,19182
81,19436
82,36065
83,90922
83,61721
83,51531
83,47422
84,561
84,46072
84,661
84,96863
84,43783
84,46030
84,94732
84,86593
84,62119
85,74160
85,95301
85,76835
86,44597
86,80967
86,23851
86,28840
86,93196
86,16446
86,34217
86,96301
87,94666
87,26992
87,88798
87,79335
87,97413
88,44438
88,1971
88,47226
88,69072
88,56714
88,98979
89,28404
89,40294
89,76748
89,28327
89,88253
89,72529
89,52474
89,20153
89,80139
90,8624
90,27082
91,58938
91,26244
91,12688
91,16959
91,31491
91,89276
91,52396
91,78942
92,12724
92,10988
92,42439
92,5955
92,59298
92,56455
92,46493
92,16545
92,82813
93,26401
93,5853
93,4789
93,62614
93,56072
93,6953
93,65808
93,71301
94,22591
94,11763
94,79026
94,95721
94,91331
95,36415
96,50169
96,42084
96,23085
96,50054
96,52249
96,87919
96,13208
96,55861
97,90918
97,21600
97,16487
97,66226
97,45988
97,32483
97,98662
97,32321
98,69631
98,57722
98,60548
98,92528
99,56610
99,94045
100,68217
100,5336
100,1648
100,34441
100,32196
101,89208
101,2888
101,39677
102,17750
102,46102
102,4495
102,23011
102,87542
102,73046
102,34381
102,15292
103,39550
103,54515
103,28533
103,95372
104,81825
104,66903
104,12401
104,61300
104,19067
104,70659
105,62472
105,73135
105,9927
105,55737
105,31826
105,36063
106,23749
106,69258
106,9564
107,18826
107,27246
107,63217
107,38632
108,31383
109,32626
109,65965
109,25760
109,95087
109,41279
109,2245
109,53732
109,96434
109,98977
110,22046
110,87242
110,32538
110,44699
110,26713
111,91199
111,62523
111,294
112,54678
112,86836
112,75007
112,94642
112,25378
112,29933
112,73640
113,1413
113,35292
113,43059
113,43307
113,35383
113,83704
114,79601
114,1776
114,73309
114,7270
114,77588
114,95095
114,76507
114,74782
115,76688
115,21479
116,77246
117,81706
117,31239
117,92087
117,67660
117,52947
117,24412
118,73625
118,27160
119,4816
120,64793
120,57855
120,36957
121,49800
122,37809
122,4208
122,94480
122,91141
122,22731
122,70257
122,68484
122,22941
123,8940
123,5669
123,44586
123,73583
123,49717
123,93554
123,47914
123,5595
